Cer-CycPro	Cer-Endo	Cer-ExN-1	Cer-ExN-2	Cer-ExN-3	Cer-ExN-4	Cer-ExN-5	Cer-InN-1	Cer-InN-2	Cer-InN-3	Cer-InN-4	Cer-InN-5	Cer-InN-6	Cer-InN-7	Cer-InN-8	Cer-IP	Cer-MG	Cer-OPC	Cer-RG-1	Cer-RG-2	Cer-RG-3	FC-CycPro	FC-Endo	FC-ExN-1	FC-ExN-2	FC-ExN-3	FC-ExN-4	FC-ExN-5	FC-InN-1	FC-InN-2	FC-InN-3	FC-InN-4	FC-IP	FC-MG	FC-N-undef	FC-OPC	FC-RG-1	FC-RG-2	GE-CycPro	GE-InN-1	GE-InN-2	GE-InN-3	GE-InN-4	GE-InN-5	GE-InN-6	GE-InN-7	GE-RG-1	GE-RG-2	GE-RG-3	Hipp-CR-1	Hipp-CR-2	Hipp-CycPro	Hipp-Endo	Hipp-ExN-1	Hipp-ExN-2	Hipp-ExN-3	Hipp-ExN-4	Hipp-ExN-5	Hipp-ExN-6	Hipp-InN-1	Hipp-InN-2	Hipp-InN-3	Hipp-InN-4	Hipp-MG	Hipp-OPC	Hipp-RG-1	Hipp-RG-2	Hipp-RG-3	Thal-CycPro	Thal-Endo	Thal-ExN-1	Thal-ExN-2	Thal-ExN-3	Thal-InN-1	Thal-InN-2	Thal-InN-3	Thal-InN-4	Thal-InN-5	Thal-InN-6	Thal-InN-7	Thal-InN-8	Thal-IP	Thal-MG	Thal-OPC	Thal-RG-1	Thal-RG-2	Thal-RG-3	Thal-RG-4	Thal-RG-5	Thal-RG-6	Thal-RG-7
MMD2	IFITM2	WAKMAR2	CDHR3	AC006478.1	EPDR1	AC090577.1	AL590814.1	SNX10	PBOV1	OCM	AL138830.1	AC102953.2	ULBP3	C10orf105	AC073210.3	MYBPC3	AC087533.1	AL662791.2	BTN3A3	AL646090.2	AC018616.1	VSIG2	CNTNAP2	SMKR1	UNC5D	DGKI	AC027251.1	AC137579.1	AF106564.1	AC005064.1	AC090921.1	PLAG1	AC025569.1	AL391117.1	AP003025.1	INSIG1	HNF4G	WDR34	TTLL11	ZNF618	AL356489.2	FAM214B	AC234917.3	AC087341.1	PTRH1	AC084125.2	EBF2	TCIM	RIMS2	SLK	ASS1	DIO3	XKR6	LINC00861	COL15A1	RNF139-AS1	MAMDC4	FAT3	BAALC-AS2	KIAA1958	AC090200.1	LRRTM3	RNASEH2B-AS1	AP000676.5	LINC00689	AC026979.2	MCM10	FAM86B1	CD82	SLC30A8	AC004083.1	C11orf71	AC073114.1	RUNDC3B	AC092590.1	PRRT4	ZNF117	ACTL6B	TMEM74	TMEM252-DT	AC090993.1	PRRG4	MSC-AS1	PLEKHG1	AL078602.1	AC011290.1	TRPS1	AF305872.2	AC000065.1	NCAPG2
COL28A1	IFITM1	TNFAIP3	LAMB1	LINC01445	SFRP4	TTPA	EPHA7	AC004540.1	FILNC1	RSPH10B	DSE	AC073316.1	AL590867.1	OIT3	AC008267.5	SPI1	AC120036.4	RPS10-NUDT3	AL513548.4	AL606923.2	AC023644.1	ESAM	AC006004.1	AUXG01000058.1	AC124290.1	TRPV5	AC010941.1	ASH2L	TRIM35	RELN	AC100858.3	PENK	GLIPR1	AL451123.1	AP003025.2	NCAPG2	AC067773.1	PKN3	LHX6	AKNA	AL356489.3	PAX5	HGH1	AC104257.1	AL353803.2	RECQL4	PTK2B	SFRP1	AC027031.2	AL355512.1	EXOSC2	AL137779.2	AF131215.4	CASC8	TGFBR1	ADCY8	GRIN1	ENDOD1	DCAF13	INIP	AC107952.2	FAM241B	DIAPH3-AS2	AP005436.1	VIPR2	AC090204.1	BEND7	AC123777.1	LRRC55	SAMD12	AC103409.1	RBM7	IMMP2L	STEAP2-AS1	TES	IRF5	ERV3-1	NAT16	AC104248.1	AL162412.1	UNC5D	SPI1	LINC01111	AL450344.1	Z97205.2	SUGCT	TNFRSF11B	AC083843.3	SLC25A13	AC004908.3
AC099342.1	IFITM3	TXLNB	NRCAM	VSTM2A	AC004837.4	AC090136.3	AL080316.1	AC005162.3	AL050338.1	GRID2IP	CALHM4	AC072054.1	OPRM1	ZSWIM8-AS1	AC092100.1	AC090559.1	AC024451.4	TEAD3	AL133255.1	AL589935.1	AC060765.1	AP000866.2	ZNF425	PLXNA4	AP006545.1	EPHA1-AS1	AC022068.1	BAG4	AC021678.2	AC004917.1	LINC00964	AC012349.1	LINC02424	AL353746.1	NTM-AS1	AC019257.1	LINC01111	NUP188	RBM18	AL138895.1	ENHO	FRMPD1	SCRT1	ST3GAL1	ASB6	AL353151.2	AC090204.1	AC104393.1	OXR1	AL139120.1	AIF1L	LINC00638	AC068587.4	KCNQ3	NAMA	AC103726.2	BX255925.3	C11orf87	ZFPM2	ZFP37	AC012349.1	LINC02636	EDNRB-AS1	RAB38	ARHGEF10	ERLIN2	AL133415.1	LINC00681	APLNR	SAMD12-AS1	RUNX1T1	ZPR1	LRRN3	STEAP1	CFTR	PLXNA4	AC068533.3	RASA4B	AC021237.1	TRPM6	AC105230.1	AC090559.1	AC009686.1	AL138733.1	AL450345.2	GLI3	CCN3	LINC01591	ASNS	XKR5
AC004130.2	AC138230.1	AL050338.1	AC073114.1	VSTM2A-OT1	SUGCT	CYP7B1	AL590727.1	AC004593.3	LINC01277	AC005532.1	FABP7	OCM	CNKSR3	ZNF503-AS2	FZD9	AC090559.2	AC023762.1	CPNE5	Z98745.2	AL590428.1	CA3	ROBO4	AC092681.3	AC018643.1	AP006545.2	ZNF783	MSRA	AC087362.1	DUSP4	FOXP2	ADCY8	LINC00968	ATP2B1-AS1	LINGO2	AP000844.2	AC245187.2	LINC01607	IER5L	PDCL	MEGF9	RPP25L	SHB	TMEM249	SLC45A4	GTF3C4	IL33	FGFR1	PLAT	AC090579.1	AL158212.2	NOTCH1	ATP10A	AC011586.2	TG	STX17-AS1	LINC02055	EXD3	FDXACB1	ZFPM2-AS1	AKNA	AC021393.1	OIT3	AL136442.1	NAALAD2	AC019257.1	BRF2	AL390783.1	C8orf48	TNKS1BP1	MAL2	AC022695.2	APOA1	AC073346.1	STEAP2	AC000061.1	LRGUK	AC211476.6	AC105052.4	SYBU	GCNT1	AC124290.1	AC090559.2	AC009902.3	CCDC170	AL121956.4	C7orf57	SNTB1	COL22A1	NPTX2	AF233439.1
ITGB8	LRRC56	HIVEP2	AC004112.1	EGFR-AS1	AC004988.1	LINC01299	LIN28B-AS1	AC004593.1	AL023581.2	VWDE	NKAIN2	NXPH1	AL512658.1	EIF5AL1	AC005089.1	KF459542.1	SNTG1	Z85996.2	AL662890.1	CD109	RAD54B	PUS3	SMARCD3	AC011625.1	AC009630.3	ZNF746	AC104964.4	C8orf86	MBOAT4	AC073626.1	AC103726.2	AC068389.1	AC025164.1	AL445526.1	AP000844.1	AC245123.1	AC036214.2	AL391056.2	AL450263.1	NDUFA8	AL162231.1	BMS1P14	ZNF517	AC100803.4	SPACA9	AL137017.1	AC087623.3	CEBPD	CSMD3	SLC18A2	TRAF2	AC022613.1	AC011586.1	SLA	AL162394.1	AC046195.1	NSMF	DRD2	MAL2	MEGF9	CA8	COMTD1	AL355578.1	AP000722.1	AC027251.1	FGFR1	NEBL	SLC7A2	SLC43A3	MAL2-AS1	AC022695.3	PAFAH1B2	PPP1R3A	CDK14	CTTNBP2	DGKI	AC211486.2	POLR2J2	KCNV1	PRUNE2	AC069120.1	PTPRJ	AC018616.1	ESR1	AL022069.1	AC004830.2	AC104958.1	KCNK9	TMEM130	BLK
ABCB5	MIR210HG	AL355304.1	LSMEM1	AC099681.1	LINC01450	AC084082.1	LIN28B	WIPF3	STX11	MEOX2	AL354936.1	AC004949.1	AL391863.1	DYDC2	ABHD11	MPEG1	AC022034.3	PI16	TULP1	COL12A1	CCNE2	ETS1	AC021097.1	EXOC4	ANK1	SSPO	PRSS55	AC067817.2	TEX15	AC003992.1	HPYR1	CHD7	LINC02391	AL162388.2	OPCML	AC246817.2	AC079209.2	ASS1	DOLPP1	LHX6	ALDH1B1	CNTNAP3B	AF235103.3	TMEM249	ADAMTS13	CNTLN	ZMAT4	EFCAB1	NDUFB9	DOCK1	SAPCD2	TJP1	MICU3	FAM83H	NR4A3	ADCK5	LINC02645	LINC02698	AP005717.2	LHX6	LINC01414	AL512662.2	ABCC4	MAML2	AC010941.1	PXDNL	MIR1915HG	SLC18A1	SERPING1	AC021733.4	LINC00535	SCN2B	FOXP2	AC002458.1	ANKRD7	AKR1D1	GNAI1	SLC26A5	CCN3	PCA3	GOLGA7	OR4P4	PMP2	AL391863.1	KIF25-AS1	COBL	HAS2	AC040970.1	VGF	FAM86B1
AC004485.1	KRTAP5-2	AIG1	ST7	GALNT17	LINC01449	MYBL1	BVES-AS1	FKBP14	ULBP2	AC006041.2	RNF217-AS1	THSD7A	LPA	AL096706.1	AC211486.5	PATL1	AC100821.2	TMEM217	TMEM217	MEI4	AC068189.1	AP001122.1	AC005486.1	LRGUK	AC012349.1	AC093458.1	FAM66D	GOLGA7	PURG	AC002066.1	LRRC6	AC113143.3	AC010203.2	TMEM215	OPCML-IT2	AF233439.1	AF117829.1	COL5A1-AS1	FNBP1	RBM18	AL512625.2	AL445584.2	SLC1A1	GPT	PPP1R26-AS1	SAXO1	CEBPD	AC113194.1	MTSS1	INSYN2A	TUBB4B	AC022613.3	ZDHHC2	IQANK1	AL138756.1	KIFC2	AL713851.1	BACE1-AS	DSCC1	RBM18	AC090136.3	SFTPD	GPR183	AP000779.1	AC009435.1	AC064807.1	ENKUR	REEP4	OR9Q1	DEPTOR	AC016885.2	ARCN1	AC073626.1	AC006378.1	AC006364.1	SVOPL	AC003988.1	RELN	AC068413.1	AL353743.2	THAP1	MS4A6A	AC023644.1	EZR	KIF25	AC005999.2	ZHX2	AC025839.1	CUX1	AC105206.2
AC010719.1	IGF2-AS	AL023581.1	ST7-AS2	TRIM74	GLI3	LINC01592	POPDC3	CRHR2	RGS17	LRRC72	LINC02523	AC073333.1	AL139393.1	ACTA2-AS1	AC211486.2	AP000640.2	AC104051.1	GLP1R	AL096712.2	AL391840.1	PLEKHF2	FLI1	NUB1	CHRM2	LINC00968	AC092681.3	TRMT9B	AC009630.1	WRN	CADPS2	TMEM71	CLVS1	HELLPAR	IL11RA	OPCML-IT1	PRAG1	RIPK2	TMEM250	AL358781.1	AL359636.2	PIP5K1B	AL512625.2	PTPRD-AS1	AL928970.1	KCNT1	PLIN2	OPRK1	AC090577.1	CASC8	NPS	NET1	DLL4	MTMR7	EPPK1	SUSD1	INSL6	AL731533.2	AP000892.3	ZHX2	PDCL	AC022858.1	AC010157.1	TNFSF13B	ARHGAP42	PRSS51	AC009646.2	MYO3A	DOCK5	FAM111A	AC091563.1	MIR378D2HG	AP004609.3	AC003992.1	BAIAP2L1	WNT16	TMEM213	TP53TG1	AC073073.2	FBXO32	LINC01508	AC064807.1	MS4A4A	CNBD1	SLC22A3	AL513210.1	LINC02604	FER1L6-AS2	C8orf31	AC005072.1	DOCK5
AC005013.1	TRPM5	SHPRH	AC002542.6	FKBP6	LINC00957	AC009446.1	AL096794.1	ITPRID1	AL590867.1	AC073332.1	ENPP1	AC019117.2	AL022069.3	AL157834.2	CACNA2D1	MS4A6A	AC092819.3	UNC5CL	AL121574.1	TENT5A	SDC2	SENCR	WDR86	DGKI	LINC01606	ACTR3C	DLC1	AC009630.3	AC009563.1	AC004594.1	PHF20L1	AC023866.2	LINC02456	AL589645.1	LINC02743	PPP1R3B	SLC26A7	NOTCH1	UCK1	NIBAN2	FAM122A	TMC1	LURAP1L-AS1	VLDLR-AS1	CCDC183	CDKN2A	AC022034.3	TTPA	ADCY8	AL354950.3	PRKCQ-AS1	EHD4-AS1	MTUS1	PARP10	PDCL	AL161443.1	CELF2-DT	DPAGT1	WDYHV1	ZBTB26	AC013562.1	GRID1-AS1	RAB20	AP000766.1	PRSS55	OPRK1	ARMC4	GNRH1	AP003778.1	COL14A1	ERICH5	HMBS	MDFIC	AC073842.2	AASS	CLEC2L	ADAM22	PRKAR2B	CASC8	LINC01501	AC064807.2	MS4A4E	AF121898.1	AL591069.1	AL135910.1	AC211476.6	AC090921.1	GSDMD	ORAI2	CDCA2
WIPF3	TRIM21	GRM1	LINC02476	TBL2	POLM	TRPA1	CRYBG1	NPSR1-AS1	AL358134.1	AC019117.2	LINC01625	TMEM196	AL022069.1	FRAT1	AC006145.1	MS4A4A	LINC01301	APOBEC2	GLP1R	AL121977.2	STK3	TMEM45B	AC073336.1	MGAM2	LINC01602	AC073111.4	C8orf48	SNTG1	TTI2	IQUB	AF230666.2	AC023095.1	IGF1	AL355377.3	IGSF9B	FAM167A-AS1	CCNE2	RABL6	CEL	SH2D3C	AL354794.1	GNA14	AL159169.2	SLC1A1	MAMDC4	IFT74	AC022034.1	CYP7B1	AC103726.2	LINC02646	MCM10	AC090510.2	AC124069.1	SPATC1	ZBTB6	PTPRD	SFTA1P	C2CD2L	LINC00861	ZNF79	LINC02839	AL731569.1	ATP11A-AS1	C11orf53	FAM167A-AS1	AC022034.3	BAMBI	CDCA2	CCDC86	FBXO32	AP003355.2	THY1	LINC01392	MBLAC1	CADPS2	TRPV5	AC003991.1	GPR22	AC104257.1	DIRAS2	ALKAL1	MS4A7	AC037450.1	PACRG	AC093627.4	METTL27	TRIB1	AC109322.2	POLR2J	EBF2
AC007036.2	UBQLNL	STXBP5	CADPS2	VPS37D	MYL7	STAU2-AS1	LINC02526	AC005400.1	OPRM1	AC007091.1	EPM2A	AC099342.1	AL353747.2	ABCC2	SEMA3A	MS4A6E	AC068389.3	C6orf132	UNC5CL	TPBG	AC018442.2	AP001775.2	AC006372.3	TRPV5	FAM110B	KCNH2	SGCZ	ST18	MAK16	AC006148.1	AF230666.1	NKAIN3	C12orf75	PAX5	AP001999.2	FAM167A	NDUFAF6	TRAF2	BRD3OS	ENDOG	GNA14	GNAQ	ACER2	SPATA6L	PTGDS	LRRC19	RGS20	AC104232.3	TMEM71	TCERG1L	SEPHS1	B2M	LPL	WDR97	MIR600HG	AL596451.1	CELF2	AP001924.1	PCAT1	AL356481.1	CALB1	RNLS	MCF2L-AS1	C11orf1	SLC7A2	AC022034.1	AL359546.1	AC009623.1	PTGDR2	AC090921.1	FBXO43	NECTIN1	AC092590.1	AC073842.1	AC004594.1	TMEM139	STEAP4	LAMB4	HHLA1	AL158071.4	AC022679.2	MS4A14	MMP16	AL590286.2	LFNG	ELN	LRATD2	PARP10	AC005064.1	EPHX2
NOD1	TRIM34	AL365271.1	AC004594.1	CLDN3	GCK	AC011029.1	METTL24	AC018647.3	CLDN20	MACC1	AL031056.1	STK31	TTLL2	CPN1	KIAA1324L	MS4A7	AC120042.1	AL133375.1	APOBEC2	PRSS35	FBXO43	AC007406.3	AC004908.2	KEL	CLVS1	ATG9B	AC124242.1	AC021915.2	RNF122	GRM8	AC046195.1	AC090577.1	AC126177.3	FRMPD1	CCND2-AS1	FAM86B1	AC068189.1	SAPCD2	BRD3	AL353803.2	GNA14-AS1	TLE1	AL158206.1	PLPP6	GRIN1	KIF24	PLAG1	CRH	PHF20L1	ADGRA1	BEND7	AC090971.2	AC021613.1	KIFC2	LHX2	C9orf92	LINC00710	JHY	CASC19	TOR1B	AC004083.1	IFIT1	RNASE6	PIH1D2	CSGALNACT1	RGS20	LINC02664	SCARA3	ZP1	KCNQ3	AC012213.4	BLID	TES	GAL3ST4	ASB15	EPHA1	CYP51A1-AS1	DOCK4	KCNQ3	AL158071.3	RPS20	AP003721.4	FSBP	PACRG-AS2	AC073316.3	CCDC146	PCAT1	TONSL	RELN	ESCO2
LINC00997	CAVIN3	ZC3H12D	AC000372.1	AC211486.2	ELDR	LINC01607	AL050350.1	INHBA-AS1	AL589693.1	LINC01162	MTHFD1L	AC003093.1	DACT2	AL138762.1	AC005076.1	MS4A14	TRIM55	VEGFA	MDFI	AL450338.2	ZFPM2-AS1	SLC6A12	AC004908.3	FAM131B	AC023095.1	SMARCD3	AC124242.3	AC021915.1	AC105230.1	AC002057.2	AC046195.2	NKAIN3-IT1	CMKLR1	BX664727.3	AC006064.1	SLC7A2	AP003352.1	BX255925.3	MRPS2	ASS1	GNAQ	AL157886.1	KLHL9	PDCD1LG2	ANAPC2	MYORG	LINC01606	AC009879.4	KCNK9	CRACR2B	DCLRE1C	AC023906.5	GFRA2	AL158832.2	AC006450.2	AL445623.2	AL136369.2	CLMP	CASC8	FNBP1	LINC00534	LGI1	RNASE1	AP003100.3	AC018541.1	TCEA1	FZD8	ESCO2	TMEM109	HPYR1	AC104248.1	HSPA8	AC002066.1	STAG3	PRRT4	AC006004.1	LRRD1	FOXP2	HPYR1	PCAT7	FAM110B	SLC15A3	AC023632.2	AL137182.1	AC092171.1	AC098851.1	CASC19	AL136979.1	ATXN7L1	PBK
AC083864.2	ILK	PLEKHG1	GRM8	SRRM3	CALN1	AC009686.2	SLC22A16	HECW1	AL512658.2	STK31	AL133260.2	AC004540.2	AL008628.1	LBX1	AC004969.1	SLC15A3	ADHFE1	CYP39A1	PRICKLE4	CFAP206	RAD21	SLC6A13	KBTBD11-OT1	AC006974.2	MIR124-2HG	PRKAG2	SH2D4A	RPS20	PLPBP	AC000099.1	FAM135B	AC120042.1	LINC01498	AL136317.2	AC092111.2	AC018541.1	STK3	TUBB4B	CAMSAP1	RPL7A	C9orf64	ISCA1	AL391117.1	AL161449.2	PITRM1-AS1	DNAI1	CA8	RRS1-AS1	PTK2	HBG1	ACBD7	CGNL1	NPM2	VLDLR-AS1	ZBTB34	ELAVL2	AL136369.1	SCN3B	AC103726.2	AL158207.2	AC022695.2	AL157396.1	SLC7A7	AP002518.2	BMP1	MRPL15	PRKG1-AS1	PBK	CD5	NDRG1	TRHR	AP002765.1	CAV2	SPDYE3	AC009244.2	GHET1	RBM48	AC003992.1	SLA	AL354861.2	AC027698.1	CD6	AC068189.1	PACRG-AS3	C1GALT1	AC006355.2	PRNCR1	AL359095.1	CDHR3	AC025871.2
ANLN	OLFML1	AL450344.2	AC002057.2	AC074024.1	AC211476.2	AC009812.4	SLC16A10	HECW1-IT1	PNLDC1	AC003093.1	AL138733.1	HOXA-AS2	AC093627.3	AC010789.2	AC002456.1	AP003721.2	VXN	AL353138.1	TJAP1	AL034348.1	MAL2-AS1	NINJ2	AC245187.2	AC005229.5	AC090136.3	PRKAG2-AS1	CSGALNACT1	FAM110B	BRF2	PRRT4	ZNF696	AC011124.2	TMEM119	ANKRD20A3	AC092111.1	AC107959.1	RGS22	TUBB8	CR392000.2	RNF208	ISCA1	TUT7	AL445623.2	AL159169.2	CELF2-DT	RMRP	LINC01301	RRS1	TSTA3	HBG2	AL133415.1	POLR2M	FGF17	INSL6	AL162426.1	AL365204.1	CELF2-AS2	ZNF202	TMEM71	AL358781.1	ESRP1	PLCE1-AS2	MMP14	C11orf71	C8orf58	PLAG1	ZWINT	TEX15	SLC3A2	AC105180.2	PKHD1L1	PUS3	CFTR	FBXO24	STRIP2	ZNF425	SEM1	AC092590.1	KHDRBS3	AL133477.2	SDCBP	AP003721.2	GDF6	PACRG-AS1	COL28A1	CD36	PVT1	CD274	SLC26A3	EXTL3-AS1
ELMO1	PPFIBP2	ZDHHC14	AC000099.1	AC073048.1	FKBP6	AC009902.2	AL360227.1	ADCY1	SLC22A1	OSBPL3	CLDN20	AC005091.1	AC147651.1	AC010789.1	AC002458.1	CD5	MYBL1	PKHD1	RUNX2	KLHL32	AP005717.2	AC005343.1	AC245123.1	AC092681.3	BHLHE22	LINC01003	LPL	AC027698.1	AP006545.1	STRIP2	SCX	AC018953.2	SELPLG	TRPM6	FAM90A1	DOCK5	SPAG1	NET1	GPSM1	PNPLA7	DAPK1	DAPK1-IT1	ELAVL2	BNC2	SFTA1P	SPAG8	BHLHE22	ADHFE1	ZNF707	WEE1	AL390783.1	ALDH1A2	DMTN	ERMP1	CDK9	AL353811.1	CAMK1D	AP000866.6	AC083843.3	SURF6	C8orf37	SLIT1	C14orf119	AP006216.1	DOCK5	AC011853.2	AC010996.1	FGFR1	SLC22A10	KHDRBS3	SYBU	KCNJ5	AC000061.1	PCOLCE-AS1	AC009542.1	ACTR3C	AC004834.1	TES	AC046195.1	AL590705.1	CHD7	PPP1R32	NCALD	CAHM	AC004982.1	CFAP69	ASAP1	AL162253.1	NRCAM	TEX15
ELMO1-AS1	ADM	SNX9	IMPDH1	SEMA3C	CLDN4	AC090572.3	AL008730.1	IGFBP3	PLG	SNX10	TULP4	JAZF1-AS1	MICALL2	AL121928.1	FZD1	PPP1R32	TCF24	TRAM2	AL035670.1	AL589826.2	DSCC1	TEAD4	PRAG1	ZNF775	AC104232.3	ACTR3B	LZTS1	AC092819.3	AC087362.1	AC087071.1	SCRT1	RRS1-AS1	SH2B3	PRUNE2	LINC02449	ADRA1A	SNX31	ASB13	CCDC183	AL359878.1	AL161910.1	AL161910.1	AL365204.1	AL162725.2	CELF2	GLIPR2	PPP1R42	SGK3	BOP1	MRVI1-AS1	MIR1915HG	MYO1E	ADAM7	MLANA	AL162586.1	IL11RA	FRMD4A	C11orf44	AC083843.1	VAV2	NIPAL2	AL355490.2	SLC7A8	AP000892.1	CLU	MSC-AS1	BICC1	AC087623.1	SLC22A25	AC046195.1	LINC01608	TP53AIP1	CTTNBP2	PCOLCE	AC015987.1	ZBED6CL	CYP3A7	ST7	FAM135B	CORO2A	AC113143.1	RAB3IL1	CTHRC1	QKI	AC004982.2	AC000065.1	ASAP1-IT2	AL354707.1	AC073114.1	WRN
GLI3	MRVI1	AL391863.1	OPN1SW	CACNA2D1	METTL27	C8orf88	MAN1A1	AC004870.4	AL109933.5	AC005013.1	AL360169.2	CHN2	AC017000.1	NEURL1-AS1	AC079760.2	RAB3IL1	AC022858.1	LRRC1	CYP39A1	POU3F2	MTBP	TSPAN9	ERI1	PRKAG2-AS1	PDE7A	AC006348.1	NPM2	AC068389.1	AC009630.1	AC008264.2	SPATA6L	AC011853.2	OAS1	PCA3	LINC00937	CLU	GRHL2	PRKCQ-AS1	TMEM203	AKR1C1	ZNF484	AUH	TUSC1	SLC24A2	LINC00710	MELK	PREX2	MCMDC2	TONSL	CALCB	ARMC3	C2CD4B	AF106564.1	AL162384.1	ST6GALNAC4	AL589645.1	AL157392.2	AP003486.1	LINC02055	BRD3	KCNS2	MARVELD1	LINC00596	JAML	SCARA3	CRISPLD1	CDK1	AC104393.1	MAP4K2	FAM135B	CSMD3	AP002856.2	ANKRD7	TFR2	AC078842.1	KCNH2	ZNF3	WNT2	AC103758.1	AL136084.2	AC113143.3	BEST1	AC090579.1	AL078602.1	RPA3	SAMD9L	ADCY8	AL355672.1	AC073346.1	AC009563.1
H2AFV	GALNT18	SYNJ2	FLNC-AS1	AC004023.1	ELN	RAD54B	AL078600.1	AC004870.3	AL139393.1	CRHR2	AL360169.3	AC004593.2	AC093620.1	AL121929.3	AC079760.1	BEST1	EYA1	MLIP	ADGRF4	AL513550.1	TBC1D31	AC006206.2	AC105001.1	AC006348.1	AC079089.1	AC009403.2	FGF17	CHD7	AC120036.4	AKR1D1	INSL6	SLCO5A1	TPCN1	AL499602.1	LINC02367	SCARA3	FZD6	ECHDC3	AL713851.1	AL512770.1	AL499604.1	AL360020.1	TEK	AL591222.1	CELF2-AS2	AL513165.1	C8orf34-AS1	PPP1R42	KANK1	CSRP3-AS1	AL139815.1	AC100830.1	NEFM	TTC39B	NAIF1	PHF24	AC044781.1	GLB1L2	GLI4	RXRA	AP002852.1	GOT1	CIDEB	PHLDB1	FZD3	AC036214.4	CABCOCO1	AC009630.1	BATF2	AC040970.1	AC024996.1	GLB1L3	WNT16	MUC3A	DGKI	AC005998.1	STAG3	AC004946.1	TSNARE1	GRIN3A	AC022182.1	LRRN4CL	CSMD3	Z97205.2	AC004160.1	AC002429.2	AC103726.1	AL589678.1	ST7-AS1	AC087855.1
RAMP3	CSNK2A3	AL139330.1	KCP	AC005076.1	ZP3	CCNE2	AL096854.1	SUN3	TTLL2	ITPRID1	TMEM181	AC004593.1	ICA1	LINC01435	DYNC1I1	SCGB1A1	MSC-AS1	MLIP-AS1	TRAM2	USP45	ATAD2	NTF3	SLC35G5	DPP6	AC013562.1	RNF32	DMTN	AC113143.1	SNTG1	TMEM213	AL162253.1	AC091047.1	SDSL	AL353743.2	LINC02470	AC013643.2	ANGPT1	MCM10	AKR1C1	AL353586.1	TBC1D2	AL691447.2	MOB3B	MLLT3	AC069544.1	GLIDR	C8orf34	JPH1	VLDLR-AS1	NAV2	PTF1A	PLEKHO2	AC021678.2	AL162725.2	ENDOG	AL450267.2	AL157896.1	AP004608.1	MINCR	CR392000.2	AP002851.1	AL133353.1	RIPK3	HMBS	AC108449.1	ZNF704	AC013287.1	GINS4	NAALADL1	PTP4A3	AARD	B3GAT1	CADPS2	AC254629.1	AKR1D1	AC006019.1	SPDYE3	KCND2	ADGRB1	AL591506.1	AC022182.2	AP000438.1	AC024996.1	AL450345.2	THSD7A	AC002451.1	AC103726.2	LURAP1L-AS1	ST7-AS2	AC067817.2
AC004870.3	PARVA	SERAC1	ATP6V1FNB	ABCB4	SPDYE16	NDUFAF6	AL512283.1	UPP1	LINC01558	PDE1C	FNDC1	AC007036.5	VWDE	DUSP5	NPTX2	AP000438.1	TRPA1	AL445250.1	KLHL31	AL590608.1	CASC8	ANO2	NEIL2	AC006019.1	SBSPON	PTPRN2	PHYHIP	AC113143.3	AC103769.1	AC005692.3	MLANA	RDH10-AS1	AC004812.2	NXNL2	KLRD1	INTS9-AS1	AC025508.1	SEPHS1	CCDC3	OPTN	AL358937.1	FBP1	AL451123.2	AL356489.2	CUBN	AL590399.1	PI15	CRISPLD1	AL161443.1	NAV2-IT1	PRTFDC1	RASL12	PNOC	AL391834.2	DOLK	PAX5	FAM107B	B4GALNT3	PYCR3	GPSM1	AC012213.4	ENTPD7	LGALS3	MCAM	AC090204.1	E2F5	LINC01515	AC090739.1	MRPL49	SLURP2	SAMD12-AS1	LINC02717	AC004594.1	NAT16	TMEM213	AC008060.1	SAP25	ING3	SLURP2	LINC01509	CLVS1	FERMT3	SLC30A8	C6orf118	DGKB	SDHAF3	AC104257.1	AL159169.2	AC002542.6	ADAM18
AC087175.1	LINC02751	EZR-AS1	AC078842.1	RUNDC3B	AC006972.1	TP53INP1	TPD52L1	LINC02848	HGC6.3	BMPER	FNDC1-IT1	KIAA0895	MEOX2	ADRA2A	TMEM130	FERMT3	AC115837.2	AL512427.2	LRRC1	AL121957.1	HHLA1	VWF	AC145124.1	AC009403.2	C8orf89	KBTBD11-OT1	AP006545.3	AC022182.1	AC021915.1	TRPV5	SAXO1	AC115837.2	P2RX7	AL161629.1	AC022075.1	NRG1	RSPO2	BEND7	OPTN	FRMD4A	MRPL50	AL499604.1	AL451123.1	NPR2	TRDMT1	FXN	PMP2	HNF4G	DMAC1	AC090159.1	ENKUR	AC011939.2	AC025871.1	AL353811.1	USP20	AL353626.1	NEBL	LRTM2	FAM83H	PMPCA	TMEM74	SEMA4G	HIF1A	RNF26	EFCAB1	CNBD1	CTNNA3	MCM4	FRMD8	LY6E-DT	COLEC10	AC004803.1	WASL	RASA4B	CLEC2L	AC008060.4	ACTL6B	AC006148.1	LY6E-DT	KLF4	BHLHE22	CCDC88B	HAS2	AL121956.4	NPY	CYP3A43	AC083843.3	FREM1	LINC02476	SFRP1
